rosbagTimestamp,linear,x,y,z,angular,x,y,z
2296925000000,,0.0,0.0,0.0,,0.0,0.0,0.0
2296939000000,,0.0,0.0,0.0,,0.0,0.0,0.0
2296978000000,,0.0,0.0,0.0,,0.0,0.0,0.0
2297021000000,,0.0,0.0,0.0,,0.0,0.0,0.0
2297064000000,,0.0,0.0,0.0,,0.0,0.0,0.0
2297107000000,,0.0,0.0,0.0,,0.0,0.0,0.0
2297114000000,,0.593842744827,0.0,0.0,,0.0,0.0,0.0
2297131000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297174000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297216000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297257000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297299000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297342000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297385000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297429000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297472000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297514000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297556000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297597000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297640000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297683000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297725000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297767000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297808000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297847000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297887000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297928000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2297969000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298009000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298052000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298096000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298139000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298184000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298229000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298273000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298316000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298360000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298404000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298448000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298493000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298536000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298579000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298624000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298667000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298710000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298753000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298796000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298836000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298879000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298923000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2298966000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299009000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299052000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299095000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299136000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299178000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299221000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299264000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299306000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299351000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299395000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299437000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299482000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299526000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299571000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299615000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299657000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299701000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299745000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299779000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299823000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299867000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299913000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299955000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2299996000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300041000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300087000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300133000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300177000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300222000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300268000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300312000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300356000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300400000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300445000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300492000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300536000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300580000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300625000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300671000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300716000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300760000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300804000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300847000000,,2.0,0.0,0.0,,0.0,0.0,0.0
2300891000000,,2.0,0.0,0.0,,0.0,0.0,0.0
